id,username,experience,approach,holding_period,assets_traded
2159,emptyMandrill6,Experienced,Momentum,Day Trader,"Private Companies,Futures"
2160,pluckyOatmeal1,Experienced,Momentum,Swing Trader,Bonds
2161,kindCrackers1,Intermediate,Value,Day Trader,"Bonds,Equities,Private Companies"
2162,cautiousMandrill9,Intermediate,Value,Day Trader,"Futures,Bonds"
2163,superiorTeal4,Intermediate,Fundamental,Swing Trader,"Bonds,Private Companies,Options"
2164,jubilantEggs7,Novice,Momentum,Swing Trader,"Private Companies,Equities"
2165,spiritedJaguar4,Experienced,Value,Long Term Investor,"Futures,Equities,Bonds"
2166,gleefulJaguar3,Intermediate,Global Macro,Long Term Investor,"Options,Private Companies,Futures"
2167,ashamedUnicorn7,Experienced,Growth,Long Term Investor,Bonds
2168,superiorCordial2,Novice,Value,Day Trader,"Futures,Options"
2169,boredPolenta9,Novice,Fundamental,Swing Trader,"Futures,Options"
2170,resolvedBaboon7,Novice,Momentum,Day Trader,"Futures,Bonds"
2171,cautiousWigeon5,Novice,Fundamental,Position Trader,"Forex,Options,Bonds"
2172,resolvedVenison7,Novice,Global Macro,Position Trader,"Private Companies,Options"
2173,sincereCrackers6,Intermediate,Fundamental,Long Term Investor,"Equities,Private Companies"
2174,morbidEland2,Novice,Fundamental,Long Term Investor,"Equities,Private Companies"
2175,peacefulWigeon9,Experienced,Global Macro,Day Trader,"Futures,Bonds,Options"
2176,humorousRuffs0,Experienced,Growth,Long Term Investor,"Futures,Forex,Bonds"
2177,thrilledTruffle5,Intermediate,Technical,Swing Trader,"Forex,Bonds,Equities"
2178,aloofBurritos5,Experienced,Growth,Day Trader,Options
2179,anxiousBaboon3,Experienced,Value,Swing Trader,"Options,Private Companies"
2180,shamefulClam6,Intermediate,Value,Position Trader,"Equities,Futures,Bonds"
2181,betrayedCrackers0,Novice,Fundamental,Day Trader,"Futures,Equities"
2182,thrilledSeagull9,Intermediate,Fundamental,Position Trader,Options
2183,dreadfulBuck5,Intermediate,Value,Swing Trader,"Options,Forex,Bonds"
2184,shamefulSeagull4,Experienced,Technical,Day Trader,"Equities,Bonds,Futures"
2185,guiltyCaribou7,Experienced,Momentum,Day Trader,"Private Companies,Futures,Forex"
2186,vengefulBass7,Experienced,Momentum,Swing Trader,"Options,Futures"
2187,ferventLion0,Novice,Fundamental,Swing Trader,Futures
2188,scornfulChowder6,Experienced,Value,Position Trader,"Options,Equities,Forex"
2189,amazedEagle9,Intermediate,Growth,Swing Trader,"Futures,Bonds,Options"
2190,euphoricAntelope0,Intermediate,Fundamental,Day Trader,Equities
2191,trustingToucan1,Experienced,Global Macro,Position Trader,"Equities,Futures"
2192,fondDotterel3,Intermediate,Technical,Long Term Investor,"Forex,Equities"
2193,unhappyBoars6,Novice,Global Macro,Day Trader,"Futures,Private Companies,Forex"
2194,finickyRice0,Novice,Fundamental,Position Trader,Forex
2195,boredPonie9,Novice,Technical,Position Trader,"Equities,Futures"
2196,madCake9,Experienced,Technical,Day Trader,"Futures,Options,Bonds"
2197,somberWidgeon3,Intermediate,Fundamental,Position Trader,"Futures,Options,Bonds"
2198,sadThrush1,Novice,Technical,Position Trader,"Equities,Private Companies"
2199,somberPie7,Intermediate,Growth,Swing Trader,"Equities,Private Companies,Forex"
2200,guiltyBustard0,Intermediate,Global Macro,Day Trader,"Equities,Bonds"
2201,humorousJaguar6,Experienced,Technical,Day Trader,"Futures,Bonds,Private Companies"
2202,grudgingBuck1,Intermediate,Fundamental,Day Trader,Options
2203,mereOwl0,Intermediate,Value,Swing Trader,"Bonds,Private Companies"
2204,dejectedMacaw6,Intermediate,Momentum,Long Term Investor,"Private Companies,Options,Futures"
2205,boastfulBobolink8,Novice,Value,Day Trader,"Bonds,Equities,Futures"
2206,stressedTomatoe4,Novice,Momentum,Day Trader,"Options,Bonds,Forex"
2207,jubilantChile9,Intermediate,Fundamental,Day Trader,"Private Companies,Options,Futures"
2208,emptyKitten6,Experienced,Global Macro,Swing Trader,Options
2209,pacifiedPretzels5,Intermediate,Technical,Long Term Investor,"Forex,Equities,Options"
2210,joyfulCockatoo9,Novice,Momentum,Position Trader,"Bonds,Options"
2211,goofyMagpie3,Intermediate,Fundamental,Long Term Investor,"Futures,Options,Equities"
2212,thriftyCurlew9,Experienced,Fundamental,Position Trader,"Futures,Options"
2213,solemnCrane6,Novice,Technical,Day Trader,Bonds
2214,puzzledMallard9,Intermediate,Value,Position Trader,Private Companies
2215,pitifulMallard0,Novice,Momentum,Long Term Investor,"Equities,Private Companies"
2216,pitifulBass3,Experienced,Technical,Long Term Investor,"Futures,Options,Forex"
2217,guiltyHyena0,Experienced,Fundamental,Long Term Investor,"Bonds,Options"
2218,ecstaticBobolink1,Experienced,Global Macro,Swing Trader,"Bonds,Options,Private Companies"
2219,gleefulTuna6,Novice,Technical,Position Trader,Futures
2220,insecureJaguar2,Novice,Value,Long Term Investor,"Bonds,Equities"
2221,innocentTermite3,Experienced,Momentum,Long Term Investor,Private Companies
2222,ecstaticLocust8,Experienced,Fundamental,Long Term Investor,Private Companies
2223,holisticGelding6,Experienced,Value,Swing Trader,Options
2224,needyOtter4,Experienced,Fundamental,Long Term Investor,Bonds
2225,madPlover5,Intermediate,Momentum,Position Trader,"Bonds,Private Companies"
2226,contentCod9,Novice,Global Macro,Long Term Investor,"Forex,Options,Bonds"
2227,holisticGarlic0,Intermediate,Value,Swing Trader,"Options,Bonds"
2228,giddySardines0,Experienced,Technical,Position Trader,"Bonds,Forex"
2229,lovesickFish9,Novice,Growth,Position Trader,"Bonds,Equities,Options"
2230,cruelEagle9,Experienced,Growth,Day Trader,"Futures,Private Companies,Options"
2231,spiritedPup3,Intermediate,Momentum,Long Term Investor,"Private Companies,Futures,Forex"
2232,pleasedBoars6,Novice,Technical,Position Trader,"Options,Forex,Bonds"
2233,pacifiedLocust6,Experienced,Fundamental,Swing Trader,Forex
2234,shamefulGnu6,Experienced,Momentum,Long Term Investor,"Futures,Options,Private Companies"
2235,shyLlama5,Experienced,Growth,Long Term Investor,"Options,Bonds,Equities"
2236,soreAbalone2,Experienced,Growth,Swing Trader,"Equities,Forex,Futures"
2237,zestyBobolink8,Intermediate,Technical,Swing Trader,"Options,Forex,Private Companies"
2238,grumpyUnicorn8,Novice,Global Macro,Swing Trader,Equities
2239,cockyDingo5,Intermediate,Fundamental,Swing Trader,"Options,Futures"
2240,lovesickBass2,Intermediate,Technical,Day Trader,"Options,Forex"
2241,grudgingMoth0,Experienced,Global Macro,Day Trader,"Equities,Bonds"
2242,drearyLollies7,Novice,Momentum,Long Term Investor,"Private Companies,Forex"
2243,wakefulHoopoe8,Intermediate,Momentum,Day Trader,Forex
2244,enviousChile1,Intermediate,Global Macro,Long Term Investor,Private Companies
2245,sheepishPudding2,Experienced,Technical,Swing Trader,"Equities,Forex"
2246,sadAntelope8,Novice,Global Macro,Swing Trader,"Options,Forex,Private Companies"
2247,insecureCoconut4,Intermediate,Value,Swing Trader,"Private Companies,Forex,Options"
2248,troubledBittern6,Intermediate,Growth,Swing Trader,Options
2249,betrayedCheese1,Intermediate,Growth,Day Trader,"Futures,Forex,Private Companies"
2250,annoyedBittern4,Intermediate,Growth,Long Term Investor,"Private Companies,Bonds"
2251,pitifulWildfowl1,Experienced,Technical,Long Term Investor,Equities
2252,jealousWidgeon7,Intermediate,Technical,Day Trader,"Bonds,Private Companies"
2253,offendedWidgeon3,Intermediate,Momentum,Day Trader,"Bonds,Equities"
2254,truthfulLollies0,Experienced,Momentum,Position Trader,"Private Companies,Futures,Bonds"
2255,amazedCoconut0,Intermediate,Technical,Position Trader,"Equities,Bonds"
2256,culturedPorpoise8,Intermediate,Global Macro,Position Trader,"Private Companies,Futures,Equities"
2257,ferventRat4,Intermediate,Momentum,Long Term Investor,Futures
2258,sugaryIcecream0,Intermediate,Technical,Long Term Investor,"Equities,Futures,Options"
2259,peskyOcelot7,Intermediate,Global Macro,Position Trader,"Equities,Private Companies,Bonds"
2260,crushedZebra7,Experienced,Global Macro,Swing Trader,"Options,Bonds"
2261,enviousSyrup1,Experienced,Growth,Long Term Investor,"Forex,Options,Private Companies"
2262,dejectedTruffle2,Experienced,Value,Long Term Investor,"Options,Bonds,Forex"
2263,betrayedSyrup8,Novice,Technical,Swing Trader,Options
2264,humorousBittern1,Novice,Global Macro,Swing Trader,"Bonds,Futures"
2265,exactingPlover7,Novice,Fundamental,Long Term Investor,"Forex,Equities,Private Companies"
2266,pluckyViper9,Intermediate,Global Macro,Day Trader,Bonds
2267,needyBustard8,Intermediate,Technical,Long Term Investor,"Options,Forex,Bonds"
2268,ardentKitten2,Novice,Momentum,Position Trader,Forex
2269,artisticOil9,Experienced,Fundamental,Position Trader,Private Companies
2270,thrilledDingo9,Intermediate,Technical,Swing Trader,Futures
2271,emptySeafowl5,Experienced,Growth,Day Trader,Forex
2272,somberCake8,Experienced,Momentum,Position Trader,"Private Companies,Bonds"
2273,obsessedCow1,Novice,Global Macro,Swing Trader,Futures
2274,relievedOtter1,Intermediate,Technical,Long Term Investor,Bonds
2275,ashamedFish3,Experienced,Growth,Swing Trader,"Private Companies,Forex,Equities"
2276,pitifulQuiche8,Intermediate,Technical,Day Trader,Bonds
2277,hushedCurlew8,Intermediate,Global Macro,Day Trader,Equities
2278,grudgingMussel1,Intermediate,Momentum,Swing Trader,Bonds
2279,mercifulSausage6,Experienced,Global Macro,Position Trader,"Bonds,Options,Private Companies"
2280,alertSalt5,Novice,Growth,Swing Trader,"Equities,Futures,Options"
2281,empathicChough1,Experienced,Value,Position Trader,"Bonds,Private Companies,Futures"
2282,aboardMuesli0,Experienced,Momentum,Swing Trader,"Private Companies,Equities,Forex"
2283,boastfulViper6,Intermediate,Value,Swing Trader,"Bonds,Forex,Private Companies"
2284,insecureHeron4,Intermediate,Momentum,Swing Trader,Private Companies
2285,wakefulBustard3,Experienced,Fundamental,Position Trader,Private Companies
2286,chicRat3,Intermediate,Growth,Swing Trader,"Equities,Forex"
2287,vengefulSeagull8,Intermediate,Value,Position Trader,Options
2288,cheerfulCur5,Intermediate,Global Macro,Swing Trader,Private Companies
2289,amusedPlover5,Novice,Global Macro,Position Trader,"Bonds,Forex"
2290,aloofTortoise4,Intermediate,Value,Swing Trader,"Options,Bonds"
2291,importedCrane5,Novice,Global Macro,Day Trader,Equities
2292,wearyTermite1,Novice,Growth,Swing Trader,"Bonds,Options"
2293,humorousFish8,Experienced,Fundamental,Day Trader,"Forex,Private Companies,Futures"
2294,solidViper4,Experienced,Fundamental,Position Trader,Futures
2295,pacifiedDunbird2,Experienced,Value,Long Term Investor,Equities
2296,peskyTomatoe0,Experienced,Growth,Position Trader,"Futures,Options,Forex"
2297,cynicalGarlic8,Experienced,Value,Day Trader,"Futures,Private Companies"
2298,resolvedHawk2,Experienced,Global Macro,Day Trader,"Private Companies,Options"
2299,mercifulDinosaur8,Novice,Global Macro,Swing Trader,"Private Companies,Options"
2300,scornfulDunbird2,Experienced,Global Macro,Long Term Investor,"Futures,Private Companies,Equities"
2301,holisticPudding5,Experienced,Global Macro,Position Trader,Futures
2302,troubledCrane0,Novice,Fundamental,Day Trader,Equities
2303,superiorBuck5,Intermediate,Fundamental,Position Trader,"Futures,Options,Bonds"
2304,innocentVenison8,Intermediate,Global Macro,Day Trader,"Futures,Equities"
2305,curiousChamois2,Intermediate,Value,Swing Trader,Options
2306,lovesickMussel2,Novice,Growth,Position Trader,"Private Companies,Equities,Bonds"
2307,panickyLemur4,Novice,Technical,Long Term Investor,"Private Companies,Options,Forex"
2308,spiritedCordial1,Novice,Global Macro,Day Trader,"Equities,Forex,Options"
2309,crushedTruffle3,Experienced,Technical,Day Trader,"Private Companies,Bonds,Forex"
2310,excludedCoconut7,Intermediate,Momentum,Long Term Investor,"Equities,Futures,Options"
2311,panickyMeerkat7,Experienced,Growth,Day Trader,Futures
2312,curiousPup1,Novice,Momentum,Swing Trader,"Private Companies,Forex"
2313,lazyMackerel0,Novice,Value,Swing Trader,"Bonds,Equities"
2314,thriftyCod2,Novice,Momentum,Position Trader,Private Companies
2315,artisticRaisins4,Experienced,Global Macro,Day Trader,"Futures,Options,Forex"
2316,fondAbalone0,Experienced,Global Macro,Swing Trader,Equities
2317,culturedShads3,Experienced,Technical,Position Trader,Options
2318,panickyAntelope0,Intermediate,Global Macro,Position Trader,"Bonds,Private Companies"
2319,emptyDingo9,Intermediate,Global Macro,Long Term Investor,Futures
2320,gutturalCheese5,Novice,Value,Long Term Investor,"Options,Forex"
2321,obsessedRaisins8,Intermediate,Growth,Swing Trader,"Futures,Private Companies,Equities"
2322,contentPretzels8,Novice,Value,Position Trader,Futures
2323,troubledOryx9,Experienced,Growth,Day Trader,"Forex,Equities"
2324,jumpyViper8,Novice,Growth,Swing Trader,"Options,Private Companies,Equities"
2325,amusedTuna1,Experienced,Momentum,Position Trader,"Options,Equities"
2326,excitedOtter6,Intermediate,Value,Swing Trader,Private Companies
2327,sincereTacos2,Experienced,Value,Swing Trader,"Futures,Private Companies"
2328,crushedTortoise3,Novice,Value,Position Trader,"Forex,Bonds"
2329,solemnPretzels2,Intermediate,Momentum,Position Trader,"Bonds,Equities,Futures"
2330,artisticQuiche3,Experienced,Value,Position Trader,"Forex,Equities"
2331,morbidIcecream6,Experienced,Momentum,Long Term Investor,Private Companies
2332,ecstaticTermite9,Novice,Momentum,Swing Trader,Futures
2333,lazyBobolink8,Novice,Value,Swing Trader,Bonds
2334,sheepishDotterel7,Intermediate,Technical,Day Trader,"Equities,Options,Bonds"
2335,superiorMandrill3,Intermediate,Technical,Day Trader,"Private Companies,Bonds"
2336,aloofCrackers8,Experienced,Value,Long Term Investor,"Equities,Futures,Private Companies"
2337,dreadfulHare9,Novice,Global Macro,Position Trader,"Equities,Futures,Options"
2338,innocentEagle6,Novice,Global Macro,Position Trader,"Private Companies,Options,Equities"
2339,cautiousStork1,Novice,Growth,Long Term Investor,"Private Companies,Forex"
2340,betrayedCur3,Novice,Growth,Long Term Investor,Equities
2341,resolvedSeagull6,Experienced,Value,Day Trader,"Bonds,Private Companies,Futures"
2342,enragedOwl5,Intermediate,Momentum,Swing Trader,"Forex,Private Companies"
2343,euphoricWasp7,Experienced,Fundamental,Long Term Investor,"Equities,Private Companies,Options"
2344,ecstaticCamel3,Intermediate,Growth,Day Trader,"Equities,Bonds"
2345,panickyBittern5,Intermediate,Fundamental,Long Term Investor,"Equities,Options"
2346,emptyFish9,Novice,Momentum,Position Trader,"Futures,Equities"
2347,grizzledApples5,Novice,Global Macro,Swing Trader,Forex
2348,zestyToucan7,Intermediate,Fundamental,Swing Trader,"Futures,Bonds,Options"
2349,affectedHyena4,Experienced,Fundamental,Day Trader,"Options,Forex"
2350,forsakenStork1,Experienced,Value,Position Trader,"Forex,Private Companies"
2351,betrayedAntelope2,Novice,Momentum,Day Trader,"Options,Bonds,Futures"
2352,pridefulWidgeon0,Intermediate,Technical,Position Trader,"Forex,Bonds,Private Companies"
2353,crushedBurritos9,Novice,Value,Long Term Investor,"Options,Bonds"
2354,worldlyHoopoe3,Novice,Value,Swing Trader,"Options,Bonds"
2355,brainyRhino5,Intermediate,Technical,Day Trader,"Futures,Options"
2356,tautLocust7,Novice,Fundamental,Day Trader,"Forex,Equities"
2357,gleefulRice2,Experienced,Fundamental,Swing Trader,"Bonds,Private Companies,Equities"
2358,emptyCow7,Intermediate,Global Macro,Day Trader,"Bonds,Futures,Private Companies"
2359,yearningSnipe3,Novice,Technical,Swing Trader,"Forex,Private Companies"
2360,solemnLemur7,Intermediate,Technical,Swing Trader,"Equities,Forex"
2361,ashamedRuffs6,Novice,Fundamental,Swing Trader,"Bonds,Options,Equities"
2362,giddyOatmeal8,Intermediate,Technical,Day Trader,Bonds
2363,artisticSnipe9,Experienced,Technical,Position Trader,"Equities,Private Companies"
2364,murkySardines3,Intermediate,Global Macro,Long Term Investor,Bonds
2365,pacifiedBoars9,Experienced,Growth,Position Trader,Forex
2366,finickyLlama5,Experienced,Momentum,Long Term Investor,"Options,Equities,Bonds"
2367,eagerToucan2,Intermediate,Growth,Position Trader,"Futures,Forex,Private Companies"
2368,aloofFerret8,Novice,Technical,Swing Trader,"Bonds,Equities"
2369,kindGnu1,Intermediate,Growth,Position Trader,"Futures,Options,Bonds"
2370,madCockatoo1,Intermediate,Global Macro,Position Trader,"Equities,Options,Bonds"
2371,gleefulWildfowl6,Intermediate,Value,Day Trader,"Equities,Bonds,Options"
2372,panickyMussel6,Novice,Fundamental,Long Term Investor,"Equities,Bonds"
2373,betrayedKitten0,Experienced,Value,Swing Trader,"Options,Futures"
2374,adoringCrackers5,Experienced,Momentum,Position Trader,"Options,Futures,Equities"
2375,aboardTacos7,Intermediate,Growth,Position Trader,"Equities,Bonds"
2376,jumpyOrange0,Experienced,Value,Day Trader,"Futures,Forex,Private Companies"
2377,outlyingRaisins5,Experienced,Global Macro,Swing Trader,Futures
2378,boredSwift2,Experienced,Value,Swing Trader,Options
2379,decimalLion9,Novice,Technical,Position Trader,"Options,Forex"
2380,needfulRat5,Novice,Global Macro,Day Trader,"Futures,Equities"
2381,curiousQuiche5,Novice,Value,Swing Trader,Options
2382,debonairCur2,Intermediate,Fundamental,Swing Trader,"Futures,Bonds,Options"
2383,shyMoth5,Novice,Fundamental,Long Term Investor,Private Companies
2384,ferventPonie9,Experienced,Momentum,Position Trader,"Private Companies,Bonds,Options"
2385,importedOil7,Novice,Global Macro,Position Trader,Bonds
2386,somberEggs0,Novice,Momentum,Swing Trader,Equities
2387,sheepishLollies3,Experienced,Momentum,Day Trader,"Forex,Bonds"
2388,ardentBasmati6,Intermediate,Fundamental,Day Trader,"Bonds,Futures,Private Companies"
2389,amazedSnipe8,Novice,Global Macro,Long Term Investor,Equities
2390,relievedJaguar4,Experienced,Fundamental,Position Trader,"Private Companies,Forex"
2391,humorousMallard4,Experienced,Momentum,Position Trader,"Forex,Futures,Options"
2392,goofyQuiche4,Novice,Fundamental,Swing Trader,"Futures,Options,Bonds"
2393,forsakenSwift6,Intermediate,Value,Swing Trader,Bonds
2394,somberTermite3,Novice,Momentum,Position Trader,"Bonds,Options,Forex"
2395,excludedVenison8,Intermediate,Growth,Long Term Investor,"Equities,Futures"
2396,relievedLapwing8,Novice,Technical,Day Trader,"Options,Forex"
2397,abjectViper5,Intermediate,Fundamental,Swing Trader,Equities
2398,betrayedSalt6,Experienced,Momentum,Day Trader,Options
2399,exactingPaella8,Novice,Fundamental,Swing Trader,"Private Companies,Futures,Options"
2400,holisticRhino8,Experienced,Value,Swing Trader,"Options,Bonds"
2401,exactingBasmati2,Intermediate,Technical,Long Term Investor,Futures
2402,mellowCaribou5,Experienced,Value,Swing Trader,Equities
2403,peacefulLlama0,Novice,Global Macro,Swing Trader,Equities
2404,pleasedWidgeon1,Novice,Value,Swing Trader,Futures
2405,wingedFalcon2,Novice,Momentum,Long Term Investor,"Futures,Options"
2406,cynicalDinosaur6,Novice,Growth,Day Trader,"Futures,Private Companies,Forex"
2407,emptyClam5,Intermediate,Fundamental,Day Trader,Bonds
2408,giddyOryx6,Experienced,Growth,Long Term Investor,"Private Companies,Futures"
2409,aboardCake0,Novice,Fundamental,Long Term Investor,"Bonds,Options,Private Companies"
2410,ferventDunbird0,Experienced,Global Macro,Day Trader,Futures
2411,jumpyTuna7,Experienced,Global Macro,Position Trader,"Options,Equities"
2412,affectedAntelope0,Novice,Value,Swing Trader,"Private Companies,Futures,Equities"
2413,ecstaticChough5,Experienced,Global Macro,Long Term Investor,"Bonds,Options,Futures"
2414,resolvedAbalone3,Novice,Fundamental,Position Trader,Bonds
2415,ecstaticRuffs4,Experienced,Fundamental,Position Trader,"Equities,Bonds,Private Companies"
2416,wearyOryx0,Experienced,Fundamental,Long Term Investor,Private Companies
2417,tautCardinal8,Experienced,Fundamental,Position Trader,"Private Companies,Forex,Bonds"
2418,wearyFlamingo6,Experienced,Growth,Day Trader,"Forex,Private Companies"
2419,euphoricMallard1,Experienced,Value,Position Trader,"Futures,Options,Equities"
2420,morbidPaella4,Novice,Global Macro,Day Trader,"Bonds,Equities,Futures"
2421,pacifiedPepper7,Novice,Growth,Day Trader,"Futures,Private Companies"
2422,boredUnicorn7,Experienced,Fundamental,Position Trader,Bonds
2423,selfishLollies5,Experienced,Value,Position Trader,"Bonds,Futures,Forex"
2424,bubblyShads9,Experienced,Value,Swing Trader,"Private Companies,Bonds,Futures"
2425,relievedViper0,Experienced,Momentum,Long Term Investor,Options
2426,importedBustard8,Experienced,Technical,Swing Trader,Forex
2427,cynicalOrange0,Novice,Fundamental,Day Trader,"Private Companies,Futures"
2428,cruelHawk2,Experienced,Global Macro,Day Trader,"Options,Equities,Bonds"
2429,solemnSeafowl4,Intermediate,Technical,Position Trader,"Futures,Equities,Forex"
2430,panickyLeopard2,Novice,Global Macro,Position Trader,Options
2431,enragedWasp3,Novice,Growth,Swing Trader,"Futures,Private Companies,Bonds"
2432,ferventDove0,Novice,Global Macro,Position Trader,"Forex,Bonds"
2433,euphoricOwl0,Novice,Momentum,Position Trader,"Equities,Forex,Futures"
2434,cruelHeron0,Novice,Momentum,Day Trader,Options
2435,innocentOtter1,Intermediate,Global Macro,Day Trader,Bonds
2436,thriftySeagull2,Novice,Momentum,Swing Trader,"Options,Bonds"
2437,cynicalPretzels4,Novice,Value,Day Trader,"Forex,Equities,Bonds"
2438,importedPolenta8,Novice,Technical,Long Term Investor,"Bonds,Private Companies,Futures"
2439,worldlyCrane2,Experienced,Technical,Position Trader,"Futures,Bonds,Equities"
2440,giddyRaisins2,Novice,Value,Day Trader,"Options,Private Companies,Equities"
2441,brainyQuiche0,Experienced,Momentum,Day Trader,"Options,Equities,Forex"
2442,panickyToucan8,Novice,Momentum,Day Trader,"Futures,Forex"
2443,abjectPorpoise6,Experienced,Growth,Swing Trader,"Equities,Options"
2444,truthfulFlamingo7,Experienced,Growth,Position Trader,"Equities,Futures"
2445,amazedMackerel6,Novice,Fundamental,Long Term Investor,"Private Companies,Options"
2446,drearyBuzzard1,Experienced,Global Macro,Long Term Investor,"Forex,Options,Private Companies"
2447,goofyHeron9,Experienced,Global Macro,Day Trader,"Futures,Options,Equities"
2448,zestyUnicorn1,Novice,Fundamental,Position Trader,"Forex,Bonds,Equities"
2449,ferventVenison9,Novice,Momentum,Day Trader,Options
2450,pluckyRaisins5,Intermediate,Technical,Long Term Investor,"Bonds,Futures,Equities"
2451,ecstaticFlamingo1,Intermediate,Growth,Long Term Investor,"Forex,Private Companies"
2452,innocentTeal5,Experienced,Fundamental,Long Term Investor,"Futures,Options"
2453,troubledPaella5,Intermediate,Technical,Position Trader,"Private Companies,Forex"
2454,grumpySeahorse7,Experienced,Growth,Long Term Investor,Futures
2455,shyHare3,Intermediate,Fundamental,Long Term Investor,"Private Companies,Bonds,Forex"
2456,debonairEagle6,Experienced,Momentum,Long Term Investor,"Futures,Forex,Private Companies"
2457,trustingQuiche7,Experienced,Momentum,Swing Trader,"Forex,Options"
2458,offendedRuffs9,Novice,Value,Day Trader,"Futures,Forex"
2459,empathicVenison9,Intermediate,Fundamental,Position Trader,"Equities,Options,Bonds"
2460,somberCaviar1,Intermediate,Global Macro,Long Term Investor,"Bonds,Equities,Options"
2461,excludedHeron0,Novice,Value,Day Trader,Options
2462,dreadfulBaboon5,Intermediate,Value,Day Trader,"Options,Private Companies"
2463,amazedHawk7,Novice,Technical,Position Trader,"Futures,Forex"
2464,cheerfulBass8,Experienced,Technical,Position Trader,"Options,Forex"
2465,shamefulCheetah2,Experienced,Growth,Swing Trader,Forex
2466,euphoricAbalone3,Experienced,Growth,Position Trader,"Equities,Private Companies"
2467,humorousLollies8,Novice,Technical,Swing Trader,"Futures,Bonds,Private Companies"
2468,thriftyTacos1,Novice,Growth,Day Trader,"Futures,Equities,Bonds"
2469,aloofZebra4,Intermediate,Fundamental,Position Trader,Bonds
2470,pluckyJerky2,Novice,Fundamental,Long Term Investor,"Bonds,Forex,Futures"
2471,annoyedIguana6,Novice,Fundamental,Long Term Investor,Forex
2472,puzzledBaboon1,Novice,Fundamental,Position Trader,"Bonds,Equities"
2473,spiritedCur6,Novice,Global Macro,Day Trader,"Bonds,Private Companies,Forex"
2474,crummyPorpoise2,Experienced,Momentum,Day Trader,"Futures,Bonds,Forex"
2475,wornoutEland6,Experienced,Technical,Position Trader,Private Companies
2476,adoringJerky3,Experienced,Value,Long Term Investor,"Forex,Equities"
2477,mellowCurlew6,Novice,Growth,Day Trader,"Options,Forex"
2478,wakefulBaboon7,Intermediate,Growth,Long Term Investor,Options
2479,mildBoa5,Intermediate,Global Macro,Position Trader,"Private Companies,Forex"
2480,relievedDoughnut6,Experienced,Growth,Long Term Investor,"Futures,Forex,Equities"
2481,troubledCheetah2,Intermediate,Technical,Day Trader,"Forex,Futures"
2482,chicApples0,Intermediate,Fundamental,Position Trader,"Equities,Bonds"
2483,holisticChowder9,Novice,Growth,Swing Trader,"Equities,Bonds"
2484,decimalBuck6,Experienced,Global Macro,Day Trader,"Futures,Equities,Bonds"
2485,joyfulRice7,Intermediate,Technical,Long Term Investor,Bonds
2486,pitifulQuiche8,Experienced,Growth,Day Trader,Private Companies
2487,lazyCurlew2,Experienced,Global Macro,Day Trader,"Options,Equities"
2488,dopeyGarlic5,Experienced,Technical,Long Term Investor,"Private Companies,Bonds,Forex"
2489,truthfulApples9,Intermediate,Growth,Long Term Investor,Futures
2490,pleasedDoughnut0,Novice,Global Macro,Long Term Investor,Bonds
2491,abjectClam3,Experienced,Growth,Swing Trader,"Equities,Options"
2492,shamefulDingo4,Novice,Growth,Day Trader,"Bonds,Equities,Private Companies"
2493,empathicCow6,Intermediate,Global Macro,Swing Trader,Equities
2494,drearyFish0,Novice,Technical,Long Term Investor,Options
2495,superiorLeopard6,Novice,Global Macro,Long Term Investor,"Forex,Private Companies"
2496,grumpyAbalone6,Experienced,Growth,Day Trader,Bonds
2497,dearPoultry9,Experienced,Technical,Day Trader,"Options,Equities"
2498,gleefulAbalone8,Experienced,Growth,Long Term Investor,"Forex,Equities"
2499,puzzledWeaver2,Novice,Growth,Day Trader,Forex
2500,joyfulBustard6,Intermediate,Global Macro,Day Trader,"Options,Forex"
2501,amazedWasp3,Intermediate,Growth,Day Trader,Futures
2502,chicHawk3,Intermediate,Technical,Position Trader,"Forex,Bonds"
2503,anxiousGelding5,Novice,Fundamental,Swing Trader,Private Companies
2504,peacefulTortoise8,Novice,Value,Long Term Investor,Options
2505,madOwl1,Experienced,Global Macro,Long Term Investor,"Bonds,Forex,Futures"
2506,mildChamois3,Experienced,Fundamental,Long Term Investor,Forex
2507,exactingBaboon6,Experienced,Fundamental,Swing Trader,"Bonds,Equities,Futures"
2508,artisticHawk6,Novice,Momentum,Long Term Investor,"Bonds,Options,Forex"
2509,pridefulPretzels1,Intermediate,Value,Day Trader,Equities
2510,annoyedSalami2,Experienced,Momentum,Position Trader,"Bonds,Private Companies,Forex"
2511,excitedBasmati2,Experienced,Growth,Swing Trader,Options
2512,alertWasp2,Intermediate,Growth,Day Trader,"Bonds,Options,Forex"
2513,hushedChough5,Novice,Global Macro,Day Trader,Equities
2514,brainyRhino1,Intermediate,Technical,Day Trader,Forex
2515,annoyedTermite3,Experienced,Value,Day Trader,"Private Companies,Futures"
2516,jubilantWasp6,Novice,Technical,Position Trader,"Options,Equities"
2517,jumpySeafowl4,Novice,Fundamental,Day Trader,"Bonds,Private Companies"
2518,trustingSausage5,Intermediate,Global Macro,Day Trader,Private Companies
2519,unhappyLeopard5,Novice,Momentum,Long Term Investor,Futures
2520,affectedCrane2,Experienced,Value,Day Trader,"Bonds,Options,Futures"
2521,enviousOryx8,Experienced,Global Macro,Swing Trader,"Forex,Options"
